database_ideawu_ssdb,65191,515
database_ifduyue_python-xxhash,10845,0
database_ImageMagick_ImageMagick,15840,225883
database_indygreg_python-zstandard,8010,271
database_inotify-tools_inotify-tools,4326,74
database_inspektor-gadget_inspektor-gadget,8170,1
database_intel_hyperscan,185751,3442
database_intel_intel-cmt-cat,50796,90
database_intel_pcm,29635,976
database_IntelRealSense_librealsense,339822,2638
database_InteractiveComputerGraphics_PositionBasedDynamics,222348,2379
database_introlab_rtabmap,228350,2283
database_IoLanguage_io,41560,128
database_ioquake_ioq3,423562,8949
database_iovisor_bcc,153538,1235
database_ireader_media-server,19979,597
database_irssi_irssi,64310,1057
database_irungentoo_toxcore,31044,256
database_ish-app_ish,190996,318
database_ithewei_libhv,56581,594
database_ivmai_bdwgc,505,1200
database_jackaudio_jack2,72821,336
database_JACoders_OpenJK,953668,159321
database_jakogut_tinyvm,1193,32
database_JakubVojvoda_design-patterns-cpp,1567,32
database_jarro2783_cxxopts,17473,479
database_jarun_nnn,68,39
database_jbeder_yaml-cpp,77766,81
database_jdah_minecraft-weekend,117691,1249
database_jedisct1_dsvpn,1496,5
database_jedisct1_libsodium,0,43
database_jemalloc_jemalloc,65207,1256
database_jerryscript-project_jerryscript,122170,885
database_jgaeddert_liquid-dsp,114120,63
database_jgarff_rpi_ws281x,2582,14
database_jmpews_Dobby,18288,39
database_jnwatson_py-lmdb,11920,251
database_joan2937_pigpio,18194,11
database_joeferner_node-java,2819,39
database_JoeyDeVries_LearnOpenGL,124653,70
database_jonashaag_bjoern,5304,6
database_jonas_tig,19784,553
database_JonathanSalwan_Triton,104008,561
database_joncampbell123_dosbox-x,1418758,18970
database_jonls_redshift,4361,38
database_jorisvink_kore,28002,210
database_JoshMarler_react-juce,1099040,10795
database_jpd002_Play-,570465,1675
database_jperkin_node-rpio,2483,35
database_jpmens_jo,1966,43
database_jqlang_jq,123836,393
database_jrouwe_JoltPhysics,100734,1440
database_JSBSim-Team_jsbsim,44065,1942
database_jsommers_pytricia,1784,6
database_json-c_json-c,9626,116
database_juce-framework_JUCE,637821,60
database_kahypar_kahypar,56322,820
database_kamailio_kamailio,26673,10029
database_karalabe_hid,28583,7
database_karpathy_llama2.c,1659,5
database_Kautenja_nes-py,1865,71
database_kbarbary_sep,4692,19
database_KDE_ghostwriter,42755,1348
database_keepassxreboot_keepassxc,77232,1031
database_kelektiv_node.bcrypt.js,1082,38
database_keystone-engine_keystone,105243,1214
database_khizmax_libcds,142419,43
database_KhronosGroup_glslang,99161,28828
database_KhronosGroup_OpenXR-SDK,31366,151
database_KhronosGroup_Vulkan-Hpp,489795,160
database_KhronosGroup_Vulkan-Samples,1343108,34631
database_Kitware_CMake,711035,10607
database_Kitware_VTK,3566718,
database_Klipper3d_klipper,726904,1
database_knolleary_pubsubclient,2497,32
database_Kobzol_hardware-effects,897,36
database_kohler_gifsicle,15547,463
database_kokke_tiny-AES-c,677,35
database_KomputeProject_kompute,6730,884
database_kpu_kenlm,33684,898
database_krallin_tini,619,7
database_lammps_lammps,989458,47110
database_landley_toybox,56034,484
database_larsimmisch_pyalsaaudio,2644,15
database_laruence_yaf,11602,80
database_lava_matplotlib-cpp,2607,33
database_lballabio_QuantLib,301757,3590
database_lbryio_lbrycrd,148321,31652
database_lc-soft_LCUI,44802,349
database_ledger_ledger,38934,1286
database_LeelaChessZero_lc0,48772,39255
database_leethomason_tinyxml2,5812,43
database_Legrandin_pycryptodome,103,165
database_lericson_pylibmc,2398,44
database_letmaik_pyvirtualcam,84788,0
database_lh3_minimap2,110169,555
database_libarchive_libarchive,41,2462
database_libcpr_cpr,13794,651
database_libevent_libevent,66754,998
database_libffi_libffi,39376,222
database_libfuse_libfuse,24486,354
database_libfuse_sshfs,4846,31
database_libgit2_libgit2,0,3662
database_libjpeg-turbo_libjpeg-turbo,62865,1678
database_libnano_primer3-py,24155,480
database_libratbag_libratbag,29486,1839
database_LibreCAD_LibreCAD,109829,2089
database_LibreSprite_LibreSprite,164440,1481
